AE6228,69-6600,UH1,10,Bell UH-1N Iroquois
AE6229,69-6604,UH1,10,Bell UH-1N Iroquois
AE622B,69-6610,UH1,10,Bell UH-1N Iroquois
AE622C,69-6612,UH1,10,Bell UH-1N Iroquois
AE622D,69-6613,UH1,10,Bell UH-1N Iroquois
AE622E,69-6614,UH1,10,Bell UH-1N Iroquois
AE622F,69-6617,UH1,10,Bell UH-1N Iroquois
AE6231,69-6626,UH1,10,Bell UH-1N Iroquois
AE6232,69-6630,UH1,10,Bell UH-1N Iroquois
AE6234,69-6636,UH1,10,Bell UH-1N Iroquois
AE6235,69-6637,UH1,10,Bell UH-1N Iroquois
AE6236,69-6639,UH1,10,Bell UH-1N Iroquois
AE6237,69-6641,UH1,10,Bell UH-1N Iroquois
AE6238,69-6642,UH1,10,Bell UH-1N Iroquois
AE6239,69-6645,UH1,10,Bell UH-1N Iroquois
AE623B,69-6648,UH1,10,Bell UH-1N Iroquois
AE623C,69-6649,UH1,10,Bell UH-1N Iroquois
AE623D,69-6650,UH1,10,Bell UH-1N Iroquois
AE6230,69-6652,UH1,10,Bell UH-1N Iroquois
AE623E,69-6653,UH1,10,Bell UH-1N Iroquois
AE622A,69-6654,UH1,10,Bell UH-1N Iroquois
AE6245,69-6661,UH1,10,Bell UH-1N Iroquois
AE6244,69-6663,UH1,10,Bell UH-1N Iroquois
AE6247,69-6665,UH1,10,Bell UH-1N Iroquois
AE6249,69-6667,UH1,10,Bell UH-1N Iroquois
AE624F,69-6668,UH1,10,Bell UH-1N Iroquois
AE624C,69-7536,UH1,10,Bell UH-1N Iroquois
AE624D,69-7537,UH1,10,Bell UH-1N Iroquois
AE4BEC,74-22463,UH1,10,Bell UH-1V Iroquois
AE6251,74-59188,UH1,10,Bell UH-1N Iroquois
